identifer;nature;category;cName;kingdom;phylum;subphylum;vClass;subclass;order;suborder;family;genus;species;geolPeriod;geolEpoch;ageStart;ageEnd;sizeMin;sizeMax;habitat;diet;egg;citation;/vert/res/Placeholder.png;
NA;NA;CHORDATE;NA;ANIMALIA;CHORDATA;VERTEBRATA;REPTILIA;NA;PROTOSYNAPSIDA;NA;PROTOROTHYRIDIDAE;ANTHRACODROMUES;LONGIPES;CARBONIFEROUS;LATE;311.45;306.95;30.48;NA;TERRESTRIAL;INESCTIVORE;AMNIOTIC;Cope 1975;/vert/res/Placeholder.png;
NA;NA;CHORDATE;NA;ANIMALIA;CHORDATA;VERTEBRATA;REPTILIA;ANAPSID;PROTOSYNAPSIDA;NA;NA;PALEOTHYRIS;ACADIEN;CARBONIFEROUS;LATE;314.6;306.95;30.48;NA;TERRESTRIAL;INSECTIVORE;AMNOITIC;Carroll 1969;/vert/res/Placeholder.png;
NA;NA;CHORDATE;NA;ANIMALIA;CHORDATA;VERTEBRATA;REPTILIA;ANAPSID;PROTOSYNAPSIDA;NA;NA;HYLONOMUS;LYELLI;CARBONIFEROUS;LATE;318.1;314.6;20;25;TERRESTRIAL;INSECTIVORE;AMNIOTIC;DAWSON 1860;/vert/res/Placeholder.png;
NA;NA;CHORDATE;NA;ANIMALIA;CHORDATA;VERTEBRATA;REPTILIA;DIAPSIDIA;ARAEOSCELIDA;NA;PETROLACOSAURIDAE;PETREOLACOSAURUS;KANSENSIS;CARBONIFEROUS;LATE;305.9;303.4;40;NA;TERRESTRIAL;INSECTIVORE;AMNIOTIC;Reisz 1977;/vert/res/Placeholder.png;
NA;NA;CHORDATE;NA;ANIMALIA;CHORDATA;VERTEBRATA;REPTILIA;NA;NA;NA;NA;COELOSTEGUS;PROTHALES;CARBONIFEROUS;LATE;311.45;306.95;30;35;TERRESTRIAL;INSECTIVORE;AMNIOTIC;Carrol & Baird 1972;/vert/res/Placeholder.png;
TMP1983.003.0005;ORIGINAL;CHORDATE;NA;ANIMALIA;CHORDATA;VERTEBRATA;AMPHIBIA;NA;MICROSAURIA;NA;MICROBRACHIDAE;MICROBACHIS;PELIKANI;CARBONIFEROUS;LATE;311.45;306.95;15;NA;AQUATIC;PLANKTON/SHRIMP;ANAMNIOTIC;Palmer, D., ed. 1999;/vert/res/Placeholder.png;
TMP1983.006.0006;ORIGINAL;CHORDATE;NA;ANIMALIA;CHORDATA;VERTEBRATA;AMPHIBIA;NA;ANTHRACOSAURIA;NA;ANTHRACOSAURIDAE;ANTHRACOSAURUS;LANCIFER;CARBONIFEROUS;LATE;318.1;306.95;NA;NA;BRACKISH.FRESHWATER.TERRESTRIAL;CARNIVORE;ANAMNIOTIC;Hendy, Aberhan, Alroy, Clapham, Kiessling, Lin & LaFlamme 2009;/vert/res/Placeholder.png;
TMP1983.006.0009;ORIGINAL;CHORDATE;NA;ANIMALIA;CHORDATA;VERTEBRATA;AMPHIBIA;NA;TEMNOSPONDYLI;NA;LOXOMMATIDAE;MEGALOCEPHALUS;LINEOLATUS;CARBONIFEROUS;LATE;318.1;306.95;150;NA;SWAMP.TERRESTRIAL;CARNIVORE;ANAMNIOTIC;Lehman 1955;/vert/res/Placeholder.png;
TMP1983.006.0010;ORIGINAL;CHORDATE;NA;ANIMALIA;CHORDATA;VERTEBRATA;AMPHIBIA;NA;AISTOPODA;NA;PHLEGETHONTIIDAE;PHLEGETHONTIA;LINEARIS;CARBONIFEROUS;LATE;318.1;272.3;100;NA;SWAMP.TERRESTRIAL.LAGOON;CARNIVORE;ANAMNIOTIC;Cope 1971;/vert/res/Placeholder.png;
TMP1983.006.0011;ORIGINAL;CHORDATE;NA;ANIMALIA;CHORDATA;VERTEBRATA;AMPHIBIA;NA;TEMNOSPONDYLI;NA;TRIMERORHACHIDAE;SAURERPETON;OBTUSUS;CARBONIFEROUS;LATE;311.45;272.3;NA;NA;SWAMP.TERRESTRIAL.DELTAIC;NA;ANAMNIOTIC;Cope 1868;/vert/res/Placeholder.png;
TMP2006.000.0053;CAST;CHORDATE;DIMETRODON;ANIMALIA;CHORDATA;VERTEBRATA;REPTILIA;SYNAPSIDA;PELYCOSAURIA;SPHENACODONTOIDEA;SPHENACODONTIDAE;DIMETRODON;NA;PERMIAN;LATE;297;295;170;460;TERRESTRIAL;CARNIVORE;AMNIOTIC;Berman, Reisz, Martens & Henrici 2001;/vert/res/Placeholder.png;
TJA0006;DIGITAL;CHORDATE;GORGONOPSID;ANIMALIA;CHORDATA;VERTEBRATA;REPTILIA;SYNAPSIDA;THERAPSIDA;NA;GORGONOPSIDAE;INOSTRANCEVIA;ALEXANDRI;PERMIAN;EARLY-MIDDLE;265;252.3;350;NA;TERRESTRIAL;CARNIVORE;AMNIOTIC;Ivakhnenko 2001;/vert/res/Placeholder.png;
TJA0007;ORIGINAL;CHORDATE;NA;ANIMALIA;CHORDATA;VERTEBRATA;REPTILIA;SYNAPSIDA;THERAPSIDA;DINOCEPHALIA;ESTEMMENOSUCHIDAE;ESTEMMENOSUCHUS;NA;PERMIAN;EARLY-MIDDLE;297.5;265;300;450;TERRESTRIAL;HERBIVORE;AMNIOTIC;Ivakhnenko 2000;/vert/res/Placeholder.png;
TMP1985.099.0002;CAST;CHORDATE;MAMMAL-LIKE REPTILE;ANIMALIA;CHORDATA;VERTEBRATA;REPTILIA;NA;THERAPSIDA;NA;SYCOSAURIDAE;SYCOSAURUS;VANDERHORSTI;PERMIAN;LATE;259.9;254.1;120;250;TERRESTRIAL;CARNIVORE;AMNIOTIC;Broom & George 1950;/vert/res/Placeholder.png;
TMP1985.099.0004;CAST;CHORDATE;MAMMAL-LIKE REPTILE;ANIMALIA;CHORDATA;VERTEBRATA;REPTILIA;NA;THERAPSIDA;NA;PROCYNOSUCHIDAE;PROCYNOSUCHUS;DELAHARPAE;PERMIAN;LATE;259.9;252.3;60;NA;TERRESTRIAL.ACQUATIC;PISCIVORE;AMNIOTIC;Broom 1937;/vert/res/Placeholder.png;
TMP1993.125.0002;ORIGINAL;CHORDATE;LABYRINTHODONT;ANIMALIA;CHORDATA;VERTEBRATA;AMPIBIA;LABYRINTHODONTIA;TEMNOSPONDYLI;NA;ERYOPIDAE;SCLEROCEPHALUS;NA;PERMIAN;EARLY;298.9;295.5;150;NA;AMPHIBIOUS;CARNIVORE;ANAMNIOTIC;Romer 1947;/vert/res/Placeholder.png;
TMP1983.003.0007;MOLD;CHORDATE;NA;ANIMALIA;CHORDATA;VERTEBRATA;AMPHIBIA;NA;MICROSAURIA;NA;BRACHYSTELECHIDAE;BATROPETES;FRITSCHI;PERMIAN;EARLY;296.4;272.3;8;NA;BRACKISH.FRESHWATER.TERRESTRIAL;CARNIVORE;ANAMNIOTIC;Carroll 1991;/vert/res/Placeholder.png;
TMP1983.003.0010;MOLD;CHORDATE;NA;ANIMALIA;CHORDATA;VERTEBRATA;AMPHIBIA;NA;TEMNOSPONDYLI;NA;ERYOPIDAE;ERYOPS;MEGACEPHALUS;PERMIAN;EARLY;296.3;272.3;150;200;BRACKISH.FRESHWATER.TERRESTRIAL;CARNIVORE;ANAMNIOTIC;Schoch 2009;/vert/res/Placeholder.png;
TMP1983.003.0012;CAST;CHORDATE;NA;ANIMALIA;CHORDATA;VERTEBRATA;AMPHIBIA;NA;TEMNOSPONDYLI;NA;TRIMERORHACHIDAE;TRIMERORHACHIS;NA;PERMIAN;EARLY;295.5;272.3;100;NA;AQUATIC;CARNIVORE;ANAMNIOTIC;Case 1935;/vert/res/Placeholder.png;
TMP1983.003.0013;CAST;CHORDATE;NA;ANIMALIA;CHORDATA;VERTEBRATA;AMPHIBIA;NA;TEMNOSPONDYLI;NA;ZATRACHEIDAE;ZATRACHUS;NA;PERMIAN;EARLY;303.4;272.3;150;NA;AMPHIBIOUS;CARNIVORE;ANAMNIOTIC;Steyer & Laurin 2011;/vert/res/Placeholder.png;
TMP1995.116.0023;ORIGINAL;CHORDATE;NOTHOSAUR;ANIMALIA;CHORDATA;VERTEBRATA;REPTILIA;NA;NA;NOTHOSAURIA;NOTHOSAURIDAE;NOTHOSAURUS;GIGANTEUS;TRIASSIC;MIDDLE;247.2;228;500;700;MARINE;PISCIVORE;AMNIOTIC;Liu 2014;/vert/res/Placeholder.png;
TMP1986.152.0012;ORIGINAL;CHORDATE;ICHTHUOSAUR;ANIMALIA;CHORDATA;VERTEBRATA;REPTILIA;ICHTHYOPTERYGIA;ICHTHYOSAURIA;NA;IMPHALOSAURIDAE;THRINAXODON;LONGIROSTRIS;TRIASSIC;MIDDLE;251.3;247.2;100;150;MARINE;CARNIVORE;AMNIOTIC;Callaway & Brinkman 1989;/vert/res/Placeholder.png;
TMP1989.127.0008;ORIGINAL;CHORDATE;ICHTHYOSAUR;ANIMALIA;CHORDATA;VERTEBRATA;REPTILIA;NA;ICHTHYOSAURIA;NA;ICHTHYOSAURIDAE;THRINAXODON;LIORHINUS;TRIASSIC;EARLY;252.1;247.2;88;NA;TERRESTRIAL;CARNIVORE;AMNIOTIC;Damiani, Modesto, Yates & Neveling 2003;/vert/res/Placeholder.png;
NA;NA;CHORDATE;REPTILE;ANIMALIA;CHORDATA;VERTEBRATA;REPTILIA;DIAPSIDA;NA;NA;WEIGELTISAURIDAE;COELUROSAURAVUS;ELIVENSIS;TRIASSIC;EARLY;259.9;252.1;40;NA;TERRESTRIAL;INSECTIVORE;AMNIOTIC;Palmer, D., ed. 1999;/vert/res/Placeholder.png;
NA;CAST;CHORDATE;LYSTROSAURUS;ANIMALIA;CHORDATA;VERTEBRATA;REPTILIA;SYNAPSIDA;THERAPSIDS;NA;LYSTROSAURIDAE;LYSTROSAURUS;NA;TRIASSIC;EARLY;252.1;251.2;60;250;TERRESTRIAL;HERBIVORE;AMNIOTIC;Botha & Smith 2005;/vert/res/Placeholder.png;
TMP2008.003.0008;CAST;CHORDATE;FROG;ANIMALIA;CHORDATA;VERTEBRATA;AMPHIBIA;LISSAMPHIBIA;SALIENTIA;PROANURA;TRIADOBATRACHIDAE;TRIOBATRACHUS;MASSINOTI;TRIASSIC;EARLY;252.1;247.2;10;NA;BRACKISH.FRESHWATER.TERRESTRIAL;CARNIVORE;ANAMNIOTIC;Ascarrunz, Rage, Legreneur & Laurin 2016;/vert/res/Placeholder.png;
NA;NA;CHORDATE;NA;ANIMALIA;CHORDATA;VERTEBRATA;AMPHIBIA;NA;TEMNOSPONDYLI;STEREOSPONDYLI;MASTODONSAURIDAE;MASTONDONASAURUS;NA;TRIASSIC;EARLY;247.2;201.3;400;600;AMPHIBIOUS;PISCIVORE;ANAMNIOTIC;Jaeger 1828;/vert/res/Placeholder.png;
